"Proceed to the payment screen", "Ödeme ekranına devam edin", "module", "Dyson_SinglePageCheckout"
"BillCountry: ","Ülke: "
"This code doesn’t look quite right. Please check and try again.","Bu kod doğru görünmüyor veya kullanılmış bir kod olabilir. Lütfen kodu kontrol edin ve tekrar deneyin."
"Country: ","Ülke: "
"Coupon code","İndirim kodu"
"Have you got a promotional code?","İndirim kodunuz var mı?"
"Your promotional code","İndirim kodu"
"Apply","Uygula"
"Remove","İptal et"
"We have applied your code","İndirim kodunuz uygulandı."
"This code doesn’t look quite right.Please check and try again.","Bu kod doğru görünmüyor veya kullanılmış bir kod olabilir. Lütfen kodu kontrol edin ve tekrar deneyin."
"Your coupon was successfully applied.","İndirim kodunuz uygulandı."
"Your coupon was successfully removed.","İndirim kodunuz iptal edildi."
"The requested qty is not available","Sepetinize ilgili ürünlerden yalnızca 1 adet ekleyebilirsiniz"
